0.00000000 0.00000000
0.00200000 0.00163000
0.00500000 0.00295500
0.01250000 0.00508500
0.02500000 0.00737000
0.03750000 0.00891500
0.05000000 0.01015500
0.07500000 0.01176000
0.10000000 0.01304500
0.12500000 0.01411000
0.15000000 0.01493500
0.17500000 0.01574000
0.20000000 0.01641500
0.25000000 0.01756500
0.30000000 0.01860500
0.35000000 0.01946000
0.40000000 0.02008500
0.45000000 0.02056000
0.50000000 0.02089000
0.55000000 0.02117000
0.57500000 0.02139000
0.60000000 0.02156500
0.62500000 0.02167500
0.65000000 0.02169500
0.67500000 0.02157000
0.70000000 0.02128000
0.72500000 0.02083000
0.75000000 0.02028000
0.77500000 0.01941500
0.80000000 0.01852000
0.82500000 0.01726500
0.85000000 0.01565500
0.87500000 0.01374000
0.90000000 0.01143500
0.92500000 0.00858500
0.95000000 0.00515000
0.97500000 0.00104000
1.00000000 -0.0042850
